"V1","V2"
"Barkis","James Steerforth"
"Barkis","Jane Murdstone"
"Barkis","Mr Murdstone"
"Barkis","Miss Betsey Trotwood"
"Barkis","Mr Creakle"
"James Steerforth","Miss Betsey Trotwood"
"Jane Murdstone","Miss Betsey Trotwood"
"Miss Betsey Trotwood","Mr Creakle"
"Miss Betsey Trotwood","Mr Murdstone"
"Barkis","Minnie Joram"
"Barkis","Mr Omer"
"Barkis","Tommy Traddles"
"Minnie Joram","Mr Omer"
"Minnie Joram","Tommy Traddles"
"Mr Omer","Tommy Traddles"
"Clara Copperfield","Minnie Joram"
"Clara Copperfield","Mr Joram"
"Clara Copperfield","Mr Omer"
"Clara Peggotty","Minnie Joram"
"Clara Peggotty","Mr Joram"
"Clara Peggotty","Mr Omer"
"Jane Murdstone","Minnie Joram"
"Jane Murdstone","Mr Joram"
"Jane Murdstone","Mr Omer"
"Minnie Joram","Mr Joram"
"Minnie Joram","Mr Murdstone"
"Mr Joram","Mr Murdstone"
"Mr Joram","Mr Omer"
"Mr Murdstone","Mr Omer"
"Clara Copperfield","Mr Grayper"
"Clara Peggotty","Mr Grayper"
"Jane Murdstone","Mr Chillip"
"Jane Murdstone","Mr Grayper"
"Minnie Joram","Mr Chillip"
"Minnie Joram","Mr Grayper"
"Mr Chillip","Mr Grayper"
"Mr Chillip","Mr Murdstone"
"Mr Chillip","Mr Omer"
"Mr Grayper","Mr Murdstone"
"Mr Grayper","Mr Omer"
"Barkis","Mrs Gummidge"
"Barkis","Ham Peggotty"
"Barkis","Mr Gummidge"
"Barkis","Mr Chillip"
"Daniel Peggotty","Mr Chillip"
"Mr Chillip","Mrs Gummidge"
"Clara Peggotty","Mr Quinion"
"Jane Murdstone","Mr Quinion"
"Mr Quinion","Mrs Gummidge"
"David Copperfield","Mealy Potatoes"
"David Copperfield","Mick Walker"
"James Steerforth","Mealy Potatoes"
"James Steerforth","Mick Walker"
"James Steerforth","Mr Quinion"
"Mealy Potatoes","Mick Walker"
"Mealy Potatoes","Mr Quinion"
"Mealy Potatoes","Tommy Traddles"
"Mick Walker","Mr Quinion"
"Mick Walker","Tommy Traddles"
"Mr Quinion","Tommy Traddles"
"Mealy Potatoes","Miss Micawber"
"Mealy Potatoes","Mr Micawber"
"Mealy Potatoes","Mr Murdstone"
"Mealy Potatoes","Mrs Micawber"
"Miss Micawber","Mr Micawber"
"Miss Micawber","Mr Murdstone"
"Miss Micawber","Mr Quinion"
"Miss Micawber","Mrs Micawber"
"Mr Micawber","Mr Murdstone"
"Mr Micawber","Mr Quinion"
"Mr Micawber","Mrs Micawber"
"Mr Murdstone","Mrs Micawber"
"Mr Quinion","Mrs Micawber"
"Clara Peggotty","Gregory"
"Clara Peggotty","Mealy Potatoes"
"Clara Peggotty","Mick Walker"
"Clara Peggotty","Mr Micawber"
"Clara Peggotty","Mrs Micawber"
"Clara Peggotty","Tipp"
"Gregory","Mealy Potatoes"
"Gregory","Mick Walker"
"Gregory","Mr Micawber"
"Gregory","Mr Quinion"
"Gregory","Mrs Micawber"
"Gregory","Tipp"
"Mealy Potatoes","Tipp"
"Mick Walker","Mr Micawber"
"Mick Walker","Mrs Micawber"
"Mick Walker","Tipp"
"Mr Micawber","Tipp"
"Mr Quinion","Tipp"
"Mrs Micawber","Tipp"
"Clickett","David Copperfield"
"Clickett","Mr Micawber"
"Clickett","Mrs Micawber"
"David Copperfield","Mr Micawber"
"David Copperfield","Mrs Micawber"
"Captain Hopkins","Mr Micawber"
"Captain Hopkins","Mrs Micawber"
"Captain Hopkins","Mr Murdstone"
"David Copperfield","Miss Micawber"
"David Copperfield","Tipp"
"Jane Murdstone","Miss Micawber"
"Jane Murdstone","Mr Micawber"
"Jane Murdstone","Mrs Micawber"
"Jane Murdstone","Tipp"
"Miss Micawber","Tipp"
"Mr Murdstone","Tipp"
"Barkis","Mr Micawber"
"Barkis","Mrs Micawber"
"Miss Betsey Trotwood","Mr Micawber"
"Miss Betsey Trotwood","Mrs Micawber"
"Mealy Potatoes","Miss Betsey Trotwood"
"Mick Walker","Miss Betsey Trotwood"
"Miss Betsey Trotwood","Mr Quinion"
"Miss Betsey Trotwood","Tipp"
"James Steerforth","Mr Dolloby"
"James Steerforth","Mr Micawber"
"James Steerforth","Mrs Micawber"
"Mr Dolloby","Mr Micawber"
"Mr Dolloby","Mrs Micawber"
"Miss Betsey Trotwood","Mr Dolloby"
"Miss Betsey Trotwood","Tommy Traddles"
"Mr Creakle","Mr Dolloby"
"Mr Dolloby","Tommy Traddles"
"David Copperfield","Janet"
"David Copperfield","Mr Dick"
"Janet","Miss Betsey Trotwood"
"Janet","Mr Dick"
"Miss Betsey Trotwood","Mr Dick"
"Janet","Mr Creakle"
"Mr Creakle","Mr Dick"
"Clara Peggotty","Mr Dick"
"Jane Murdstone","Janet"
"Jane Murdstone","Mr Dick"
"Janet","Mr Murdstone"
"Mr Dick","Mr Murdstone"
"Clara Copperfield","Janet"
"Clara Copperfield","Mr Dick"
"David Copperfield","Mr Wickfield"
"Miss Betsey Trotwood","Mr Wickfield"
"Mr Dick","Mr Wickfield"
"Clara Peggotty","Mr Wickfield"
"Clara Peggotty","Uriah"
"Miss Betsey Trotwood","Uriah"
"Mr Wickfield","Uriah"
"David Copperfield","Uriah"
"Agnes Wickfield","David Copperfield"
"Agnes Wickfield","Miss Betsey Trotwood"
"Agnes Wickfield","Mr Dick"
"Agnes Wickfield","Mr Wickfield"
"Agnes Wickfield","Uriah"
"Mr Dick","Uriah"
"Adams","Annie Strong"
"Adams","Doctor Strong"
"Adams","Jack Maldon"
"Adams","Mr Wickfield"
"Annie Strong","Doctor Strong"
"Annie Strong","Jack Maldon"
"Annie Strong","Mr Wickfield"
"Doctor Strong","Jack Maldon"
"Doctor Strong","Mr Wickfield"
"Jack Maldon","Mr Wickfield"
"Agnes Wickfield","Doctor Strong"
"Agnes Wickfield","Jack Maldon"
"Agnes Wickfield","Mealy Potatoes"
"Agnes Wickfield","Mick Walker"
"David Copperfield","Doctor Strong"
"David Copperfield","Jack Maldon"
"Doctor Strong","Mealy Potatoes"
"Doctor Strong","Mick Walker"
"Doctor Strong","Uriah"
"Jack Maldon","Mealy Potatoes"
"Jack Maldon","Mick Walker"
"Jack Maldon","Uriah"
"Mealy Potatoes","Mr Wickfield"
"Mealy Potatoes","Uriah"
"Mick Walker","Mr Wickfield"
"Mick Walker","Uriah"
"Agnes Wickfield","Annie Strong"
"Agnes Wickfield","Little Emily"
"Annie Strong","David Copperfield"
"Annie Strong","Little Emily"
"Doctor Strong","Little Emily"
"Jack Maldon","Little Emily"
"Little Emily","Mr Wickfield"
"Adams","Agnes Wickfield"
"Adams","Daniel Peggotty"
"Adams","David Copperfield"
"Adams","Mr Creakle"
"Adams","Uriah"
"Agnes Wickfield","Daniel Peggotty"
"Agnes Wickfield","Mr Creakle"
"Daniel Peggotty","Doctor Strong"
"Daniel Peggotty","Uriah"
"Doctor Strong","Mr Creakle"
"Mr Creakle","Uriah"
"Agnes Wickfield","Mrs Markleham"
"Annie Strong","Mrs Markleham"
"Doctor Strong","Mrs Markleham"
"Jack Maldon","Mrs Markleham"
"Mr Wickfield","Mrs Markleham"
"David Copperfield","Mrs Markleham"
"Adams","Mrs Markleham"
"Barkis","Doctor Strong"
"Barkis","Mr Dick"
"Clara Peggotty","Doctor Strong"
"Daniel Peggotty","Miss Betsey Trotwood"
"Daniel Peggotty","Mr Dick"
"Doctor Strong","Ham Peggotty"
"Doctor Strong","Jane Murdstone"
"Doctor Strong","Miss Betsey Trotwood"
"Doctor Strong","Mr Dick"
"Doctor Strong","Mr Murdstone"
"Doctor Strong","Mrs Gummidge"
"Ham Peggotty","Mr Dick"
"Little Emily","Miss Betsey Trotwood"
"Little Emily","Mr Dick"
"Miss Betsey Trotwood","Mrs Gummidge"
"Mr Dick","Mrs Gummidge"
"Agnes Wickfield","Mrs Heep"
"David Copperfield","Mrs Heep"
"Miss Betsey Trotwood","Mrs Heep"
"Mr Wickfield","Mrs Heep"
"Mrs Heep","Uriah"
"Doctor Strong","Mr Micawber"
"Doctor Strong","Mrs Heep"
"Doctor Strong","Mrs Micawber"
"Mr Micawber","Mrs Heep"
"Mr Micawber","Uriah"
"Mrs Heep","Mrs Micawber"
"Mrs Micawber","Uriah"
"Agnes Wickfield","James Steerforth"
"Agnes Wickfield","Miss Shepherd"
"Agnes Wickfield","Misses Nettingall"
"Doctor Strong","James Steerforth"
"Doctor Strong","Miss Shepherd"
"Doctor Strong","Misses Nettingall"
"James Steerforth","Miss Shepherd"
"James Steerforth","Misses Nettingall"
"James Steerforth","Mr Dick"
"Miss Betsey Trotwood","Miss Shepherd"
"Miss Betsey Trotwood","Misses Nettingall"
"Miss Shepherd","Misses Nettingall"
"Miss Shepherd","Mr Dick"
"Misses Nettingall","Mr Dick"
